Scanning azure-specs/specification...

Scan Complete. Processed 927 active spec files.

Provider             | APIs       | Attributes
liftrastronomer      | 7          | 24        
github-network       | 7          | 24        
contosowidgetmanager | 7          | 24        
widget               | 7          | 24        
dell                 | 7          | 24        
liftrweightsandbiases | 7          | 24        
liftrhyperexecute    | 7          | 24        
marketplaceordering  | 7          | 31        
communitytraining    | 7          | 24        
liftrqumulo          | 7          | 24        
graphservicesprod    | 7          | 24        
liftrarize           | 7          | 24        
orbitalplanetarycomputer | 6          | 23        
datacatalog          | 6          | 22        
portalservices       | 5          | 7         
help                 | 5          | 15        
changeanalysis       | 4          | 18        
carbon               | 3          | 4         
marketplacenotifications | 3          | 8         
mariadb              | 2          | 8         
---------------------------------------------
TOTAL (ACTIVE)       | 13354      | 63806     
